feature_set,param_idx,feature_count,val_mae,val_rmse,val_r2,val_day_mae,val_day_rmse,val_day_r2,params
full,2,52,0.19051348977268298,0.24830436393079072,0.7127502982674403,0.228866465006874,0.31694637998355424,0.330835988755076,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light_battery,2,42,0.19256723666031916,0.25173127714335664,0.7047667685098462,0.23445384670138267,0.32828413010873747,0.28210527634522664,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
full,1,52,0.19867228899735662,0.2592198094830676,0.686940234234607,0.23813049148415036,0.3301691711680751,0.2738371562167229,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
full,3,52,0.17219821370947505,0.2500620712840391,0.7086691136936392,0.24566105532059665,0.3395288003237751,0.23208310599438964,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
full,4,52,0.14771470237350368,0.2548902268579659,0.6973105742507895,0.2536557894021398,0.35231311524424375,0.17316546974219438,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light_battery,3,42,0.17283220364961968,0.25084507828142305,0.7068417972790051,0.2546211792620345,0.34494895513409307,0.20736973356797261,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light,2,38,0.18812408828985278,0.25874546211224747,0.6880849245849906,0.25641393057271317,0.33752706997846743,0.24111109590472146,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light_battery,4,42,0.1681744201973155,0.25341342316758336,0.7008079063908058,0.25657740256385236,0.35384254643712887,0.1659711228737092,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_only,2,11,0.13999795087662567,0.23531536198653547,0.7420167903287671,0.25876811036190056,0.3271174089428152,0.2871990016166003,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light,3,38,0.17525798425724265,0.2614813505892683,0.6814538791415699,0.2608873993383329,0.3526454303622088,0.17160493061301463,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_only,4,11,0.13453182824671492,0.2381758878662658,0.7357065090143176,0.26421761164939234,0.3366402612355101,0.2450936222183303,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light,4,38,0.16243999954100463,0.2593569821321584,0.6866088197510936,0.264609002491182,0.35768656053925096,0.14775153172102318,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_only,1,11,0.1411736373825347,0.24363109784415543,0.7234610393687804,0.27077376543226056,0.3454298160730279,0.20515833047400933,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
base_only,3,11,0.13860759352915078,0.2403267692451255,0.7309114749672037,0.27086836909334433,0.3406231122327493,0.2271250887458357,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend_light_battery,1,42,0.18310820704981975,0.2650614473709149,0.6726713555342005,0.2719355311648414,0.364893672460255,0.11306121001598812,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
base_trend_light,1,38,0.23193509038185758,0.2884966830144239,0.6122314968298439,0.2719717222235794,0.3576255607117258,0.1480421916584037,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
base_trend,2,28,0.27090656443200667,0.3135940609319419,0.5418301150990407,0.27813295797787546,0.34012166581605024,0.22939898075239085,"{""n_estimators"": 400, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend,3,28,0.20014687649074447,0.291094071777353,0.6052177628715775,0.29409497736159723,0.3808107418012601,0.033995020994775804,"{""n_estimators"": 400, ""max_depth"": 5, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
base_trend,1,28,0.21609363874530496,0.27654309549081846,0.6436994264776488,0.2949854864701212,0.35649153645623727,0.1534367110532986,"{""n_estimators"": 300, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
base_trend,4,28,0.1877213898790264,0.2937444369325917,0.5979961773959869,0.3170243491742885,0.3972271537942741,-0.05108742711129599,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.03, ""subsample"": 0.9, ""colsample_bytree"": 0.8}"
