feature,importance
hour_cos,0.4289045
light_mean_3,0.1554185
power_max_12,0.13284707
solar_current,0.045193292
hour_sin,0.027707927
light_mean_12,0.02053227
light_lag_12,0.019667907
led_brightness,0.019448645
light_lag_1,0.015714528
solar_power,0.014236727
light,0.013917282
humidity,0.0071390024
power_lag_12,0.0067641595
soil,0.0060757073
voltage_current_mul,0.004751109
power_min_12,0.004618196
power_lag_3,0.0046146335
minute_cos,0.004423517
power_mean_12,0.004204491
soc,0.00390796
power_lag_2,0.0038721643
power_mean_24,0.003737206
power_std_3,0.003343871
soil_raw,0.003278872
power_mean_3,0.0032534967
power_lag_1,0.0032385737
solar_voltage,0.0031807069
temperature,0.0030265495
light_diff_3,0.0030113626
light_lag_6,0.002917822
battery_voltage,0.0024807467
power_std_12,0.0023917188
power_mean_6,0.0023217797
light_lag_3,0.0020882175
power_lag_6,0.0019135918
light_mean_6,0.0019028379
battery_current,0.0018979945
power_diff_3,0.0018246319
power_std_6,0.0017774298
light_lag_2,0.0016923815
battery_eff_gap,0.0013274566
minute_sin,0.0011400745
power_diff_6,0.0009958661
power_diff_1,0.0009160516
mode,0.00082658406
light_diff_1,0.0004954472
battery_power,0.00043013188
pump,0.0004220813
is_day_by_hour,0.000121597164
water_alert,8.5172076e-05
led,0.0
is_active_now,0.0
