hour,samples,mae,actual_mean,pred_mean
0,107,0.018282200021484583,0.004485981308411215,0.022098077129659468
1,108,0.01859855257556407,0.0044444444444444444,0.022279480630055342
2,108,0.021487015751383568,0.0044444444444444444,0.025162622392507453
3,108,0.025303533418475948,0.0044444444444444444,0.028960621541081314
4,108,0.03013505747126437,0.0044444444444444444,0.03368976160068114
5,108,0.03247169008088548,0.0048982545764154955,0.03601277139208174
6,108,0.027438378033205618,0.014389208173690934,0.03252469135802469
7,108,0.029387292464878673,0.021732439335887612,0.038046083439761604
8,98,0.05109567373747528,0.026109228913240173,0.07027551020408164
9,89,0.05020843045914723,0.02488020649475512,0.06407068525559421
10,96,0.47498211021962816,0.3023538384787307,0.5348890925133561
11,114,0.9132877712795813,0.8105422181140006,0.9618269832043689
12,120,0.5963136770152775,0.9735941791924551,1.191303602702617
13,112,0.4979812498154555,1.0401878085481842,1.2394522938063577
14,105,0.5369090490091311,1.043379721525206,1.168027278769397
15,108,0.3796447203286284,0.13049074074074074,0.46183873906000344
16,108,0.11757164259750467,0.036807454890788224,0.15407598978288634
17,100,0.08632994694960212,0.011569770114942528,0.0978656940760389
18,97,0.05489770438117399,0.0060738239127858746,0.06072078768488296
19,85,0.04912603110209601,0.007058823529411764,0.055469235970250164
20,83,0.023162670385977406,0.006611876075731497,0.02919761805844066
21,93,0.019824990730441232,0.005161290322580645,0.024370040786058582
22,95,0.0208737282076665,0.0050526315789473685,0.024980201286916352
23,97,0.020643855907098,0.004948453608247422,0.024665185448512858
